path,Mission Name,PDS3 or PDS4,Data Size (GB),Start Time,Stop Time
bc/bc_spice,BepiColombo,4,2.6,2018-10-20,2024-01-01
co-s_j_e_v-spice-6-v1.0/cosp_1000,Cassini Orbiter,3,73.5,1997-10-15,2017-09-15
clem1-l-spice-6-v1.0/clsp_1000,Clementine,3,0.8,1994-01-26,1994-05-07
dart/dart_spice,DART,4,10.1,2021-11-09,2050-01-01
dawn-m_a-spice-6-v1.0/dawnsp_1000,DAWN,3,86.4,2007-09-27,2018-10-31
di-c-spice-6-v1.0/disp_1000,Deep Impact,3,0.7,2005-01-12,2005-08-09
ds1-a_c-spice-6-v1.0/ds1sp_1000,Deep Space 1,3,0.9,1998-10-24,2001-12-18
dif-c_e_x-spice-6-v1.0/epxsp_1000,EPOXI,3,1.0,2005-08-23,2011-03-01
em16/em16_spice,ExoMars TGO 2016,4,11.0,2016-03-14,2024-01-01
grail-l-spice-6-v1.0/grlsp_1000,GRAIL,3,4.3,2011-09-10,2012-12-17
hay-a-spice-6-v1.0/haysp_1000,Hayabusa,3,0.3,2005-09-11,2005-11-19
insight/insight_spice,InSight,4,0.9,2018-05-05,2022-12-15
jno-j_e_ss-spice-6-v1.0/jnosp_1000,JUNO,3,48.9,2011-08-05,2023-07-31
ladee/ladee_spice,LADEE,4,0.6,2013-09-07,2050-01-01
lro-l-spice-6-v1.0/lrosp_1000,Lunar Reconnaissance Orbiter,3,627.5,2009-06-18,2023-12-15
maven/maven_spice,MAVEN,4,57.6,2013-11-18,2024-01-01
mer1-m-spice-6-v1.0/mer1sp_1000,MER 1 (Opportunity),3,4.1,2003-07-07,2018-06-10
mer2-m-spice-6-v1.0/mer2sp_1000,MER 2 (Spirit),3,2.6,2003-06-10,2010-05-03
mess-e_v_h-spice-6-v1.0/messsp_1000,MESSENGER,3,44.8,2004-08-03,2015-04-30
mars2020/mars2020_spice,Mars 2020,4,0.7,2020-07-30,2024-01-02
mex-e_m-spice-6-v2.0/mexsp_2000,Mars Express,3,11.0,2003-06-02,2023-12-31
mgs-m-spice-6-v1.0/mgsp_1000,Mars Global Surveyor,3,15.4,1996-11-06,2006-11-02
ody-m-spice-6-v1.0/odsp_1000,Mars Odyssey,3,35.8,2001-04-07,2023-10-01
mro-m-spice-6-v1.0/mrosp_1000,Mars Reconnaissance Orbiter,3,329.2,2005-08-12,2024-01-01
msl-m-spice-6-v1.0/mslsp_1000,Mars Science Laboratory,3,0.7,2011-11-26,2023-11-06
near-a-spice-6-v1.0/nearsp_1000,NEAR,3,2.4,1996-05-30,2001-02-28
nh-j_p_ss-spice-6-v1.0/nhsp_1000,New Horizons,3,1.7,2006-01-19,2022-06-01
orex/orex_spice,OSIRIS-REx,4,424.7,2016-09-08,2023-10-02
ro_rl-e_m_a_c-spice-6-v1.0/rossp_1000,Rosetta,3,5.9,2004-03-02,2017-01-01
sdu-c-spice-6-v1.0/sdsp_1000,Stardust,3,1.9,1999-02-07,2011-05-01
vco/vco_spice,Venus Climate Orbiter,4,2.0,2010-05-21,2024-01-01
vex-e_v-spice-6-v2.0/vexsp_2000,Venus Express,3,5.0,2005-11-09,2015-02-06
vo1_vo2-m-spice-6-v1.0/vosp_1000,Viking Orbiter,3,0.1,1976-06-16,1980-07-30
